Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         5.8725         30.0000        5.9001         603.4060       254.8250       210.7840       -7.0860        39.3410        498.7690       153.8080       339.8186       334.9676       337.3931       164.9938       156.0507       160.5223       426.0306       405.2250       415.6488       0.2947         0.4758         13.3616        0.0279         0.3010         9.6674         7.5620         303.8258       
100.0000       6.5755         0.0000         5.2693         449.0880       154.5169       93.3104        -15.0607       25.5879        359.4388       102.1963       215.5434       210.2157       212.8795       131.4341       119.9256       125.6798       327.6950       302.2920       315.0415       0.2533         0.5904         15.2526        0.0458         0.5052         8.4971         6.3561         272.5771       
100.0000       6.5455         1.0000         5.2935         454.7644       157.8173       97.3684        -14.8100       26.1723        364.9342       104.3149       219.9524       214.6861       217.3192       132.8812       121.6018       127.2415       331.8218       306.8671       319.3897       0.2551         0.5855         15.2074        0.0443         0.4883         8.5501         6.4073         274.1111       
100.0000       6.5154         2.0000         5.3179         460.4017       161.1199       101.4154       -14.5585       26.7474        370.3689       106.4049       224.3415       219.1330       221.7372       134.3049       123.2383       128.7716       335.8870       311.3485       323.6606       0.2567         0.5807         15.1607        0.0430         0.4728         8.6013         6.4573         275.5973       
100.0000       6.4854         3.0000         5.3426         465.9999       164.4246       105.4515       -14.3061       27.3131        375.7430       108.4664       228.7109       223.5565       226.1337       135.7051       124.8364       130.2707       339.8909       315.7385       327.8554       0.2584         0.5761         15.1125        0.0417         0.4584         8.6509         6.5059         277.0372       
100.0000       6.4553         4.0000         5.3674         471.5593       167.7316       109.4767       -14.0528       27.8696        381.0567       110.4996       233.0606       227.9568       230.5087       137.0819       126.3968       131.7394       343.8336       320.0391       331.9751       0.2600         0.5715         15.0629        0.0406         0.4451         8.6989         6.5533         278.4322       
100.0000       6.4253         5.0000         5.3925         477.0797       171.0407       113.4910       -13.7985       28.4167        386.3099       112.5043       237.3905       232.3339       234.8622       138.4354       127.9207       133.1781       347.7156       324.2521       336.0209       0.2615         0.5670         15.0118        0.0395         0.4328         8.7454         6.5995         279.7836       
100.0000       6.3985         6.0000         5.4151         482.5618       174.3522       117.4945       -13.5434       28.9547        391.5030       114.4809       241.7010       236.6882       239.1946       139.7657       129.4089       134.5873       351.5372       328.3796       339.9939       0.2631         0.5627         14.9594        0.0385         0.4213         8.7926         6.6462         281.1162       
100.0000       6.3717         7.0000         5.4379         488.0052       177.6659       121.4872       -13.2874       29.4834        396.6358       116.4291       245.9918       241.0197       243.5058       141.0726       130.8621       135.9674       355.2984       332.4230       343.8947       0.2646         0.5584         14.9057        0.0375         0.4108         8.8384         6.6918         282.4078       
100.0000       6.3450         8.0000         5.4608         493.4099       180.9818       125.4690       -13.0304       30.0028        401.7085       118.3490       250.2631       245.3283       247.7957       142.3563       132.2810       137.3187       358.9995       336.3837       347.7243       0.2661         0.5542         14.8507        0.0367         0.4009         8.8829         6.7363         283.6597       
