The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
300.0000       5.0000         10.0199        362.3019       111.0561       104.2697       194.8475       112.3172       282.6698       
300.0000       6.0000         9.9683         368.8744       114.2844       105.0559       199.1891       113.4245       286.0176       
300.0000       7.0000         9.9162         375.3741       117.5201       105.8265       203.5115       114.5067       289.2963       
300.0000       8.0000         9.8667         381.8018       120.7635       106.5818       207.8150       115.5641       292.5070       
300.0000       9.0000         9.8210         388.1580       124.0146       107.3218       212.0999       116.5969       295.6503       
300.0000       10.0000        9.7735         394.4416       127.2732       108.0464       216.3655       117.6049       298.7261       
300.0000       11.0000        9.7267         400.6532       130.5394       108.7556       220.6123       118.5884       301.7350       
300.0000       12.0000        9.6837         406.7936       133.8134       109.4497       224.8405       119.5476       304.6780       
300.0000       13.0000        9.6369         412.8615       137.0947       110.1283       229.0495       120.4823       307.5545       
300.0000       14.0000        9.5888         418.8575       140.3835       110.7916       233.2395       121.3926       310.3653       
300.0000       15.0000        9.5431         424.7823       143.6801       111.4399       237.4109       122.2789       313.1110       
300.0000       16.0000        9.5034         430.6367       146.9846       112.0731       241.5643       123.1414       315.7924       
300.0000       17.0000        9.4602         436.4191       150.2966       112.6911       245.6985       123.9797       318.4088       
300.0000       18.0000        9.4354         442.1332       153.6173       113.2945       249.8159       124.7948       320.9626       
300.0000       19.0000        9.3964         447.7737       156.9448       113.8823       253.9132       125.5854       323.4507       
300.0000       20.0000        9.3626         453.3440       160.2802       114.4552       257.9924       126.3524       325.8754       
300.0000       21.0000        9.3282         458.8430       163.6232       115.0131       262.0530       127.0957       328.2362       
300.0000       22.0000        9.2905         464.2707       166.9737       115.5558       266.0948       127.8152       330.5332       
300.0000       23.0000        9.2596         469.6284       170.3322       116.0837       270.1186       128.5112       332.7673       
300.0000       24.0000        9.2262         474.9150       173.6983       116.5965       274.1237       129.1836       334.9380       
300.0000       25.0000        9.1862         480.1298       177.0716       117.0942       278.1098       129.8323       337.0451       
400.0000       0.0000         10.3215        323.8806       93.8311        99.1155        170.5866       105.1594       261.7275       
400.0000       1.0000         10.2671        330.9041       97.0235        100.0066       175.0539       106.4274       265.5097       
400.0000       2.0000         10.2142        337.8529       100.2231       100.8815       179.5012       107.6691       269.2179       
400.0000       3.0000         10.1586        344.7260       103.4298       101.7401       183.9280       108.8843       272.8523       
400.0000       4.0000         10.1022        351.5243       106.6436       102.5826       188.3347       110.0735       276.4142       
400.0000       5.0000         10.0551        358.2509       109.8655       103.4097       192.7228       111.2375       279.9064       
400.0000       6.0000         10.0029        364.9020       113.0942       104.2206       197.0904       112.3755       283.3269       
400.0000       7.0000         9.9500         371.4791       116.3303       105.0157       201.4382       113.4880       286.6772       
400.0000       8.0000         9.8998         377.9832       119.5739       105.7951       205.7668       114.5754       289.9587       
400.0000       9.0000         9.8534         384.4149       122.8251       106.5590       210.0763       115.6378       293.1721       
400.0000       10.0000        9.8053         390.7728       126.0836       107.3071       214.3662       116.6751       296.3171       
400.0000       11.0000        9.7578         397.0579       129.3496       108.0397       218.6367       117.6875       299.3944       
400.0000       12.0000        9.7141         403.2710       132.6233       108.7569       222.8884       118.6754       302.4052       
400.0000       13.0000        9.6666         409.4103       135.9041       109.4584       227.1203       119.6384       305.3487       
400.0000       14.0000        9.6179         415.4769       139.1922       110.1443       231.3328       120.5768       308.2256       
400.0000       15.0000        9.5716         421.4716       142.4880       110.8150       235.5265       121.4909       311.0369       
400.0000       16.0000        9.5313         427.3954       145.7917       111.4705       239.7019       122.3810       313.7836       
400.0000       17.0000        9.4874         433.2462       149.1027       112.1105       243.8577       123.2466       316.4644       
400.0000       18.0000        9.4620         439.0291       152.4227       112.7359       247.9970       124.0890       319.0827       
400.0000       19.0000        9.4224         444.7368       155.7489       113.3455       252.1155       124.9066       321.6343       
400.0000       20.0000        9.3879         450.3739       159.0832       113.9400       256.2157       125.7004       324.1221       
400.0000       21.0000        9.3529         455.9391       162.4249       114.5192       260.2969       126.4702       326.5455       
400.0000       22.0000        9.3147         461.4321       165.7738       115.0832       264.3589       127.2160       328.9045       
400.0000       23.0000        9.2832         466.8549       169.1309       115.6322       268.4029       127.9383       331.2004       
400.0000       24.0000        9.2492         472.2058       172.4953       116.1660       272.4279       128.6367       333.4323       
400.0000       25.0000        9.2086         477.4842       175.8666       116.6845       276.4333       129.3112       335.6001       
500.0000       0.0000         10.3609        319.3726       92.6234        98.1169        168.3016       103.9074       258.5536       
500.0000       1.0000         10.3057        326.4820       95.8171        99.0346        172.7977       105.2086       262.4145       
500.0000       2.0000         10.2521        333.5152       99.0179        99.9359        177.2733       106.4830       266.2003       
500.0000       3.0000         10.1956        340.4711       102.2254       100.8204       181.7277       107.7304       269.9109       
500.0000       4.0000         10.1386        347.3509       105.4400       101.6885       186.1614       108.9513       273.5479       
500.0000       5.0000         10.0907        354.1582       108.6625       102.5409       190.5763       110.1468       277.1145       
500.0000       6.0000         10.0377        360.8884       111.8917       103.3767       194.9699       111.3157       280.6082       
500.0000       7.0000         9.9842         367.5433       115.1280       104.1964       199.3433       112.4587       284.0307       
500.0000       8.0000         9.9333         374.1243       118.3717       105.0001       203.6969       113.5762       287.3836       
