Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
200.0000       10.1403        2.0000         3.6881         346.3366       102.5803       102.7309       183.8324       183.8324       183.8324       110.3898       109.6194       110.0046       275.9368       274.3305       275.1341       0.2506         0.5984         14.1527        0.0035         0.0351         9.4664         7.0600         263.7468       
200.0000       10.0861        3.0000         3.7080         353.0461       105.7848       103.5384       188.2052       188.2052       188.2052       111.5753       110.7372       111.1563       279.4943       277.7390       278.6172       0.2533         0.5906         13.9951        0.0038         0.0378         9.5251         7.1244         264.9715       
200.0000       10.0312        4.0000         3.7282         359.6838       108.9968       104.3307       192.5591       192.5591       192.5591       112.7358       111.8296       112.2827       282.9824       281.0767       282.0302       0.2559         0.5831         13.8418        0.0040         0.0405         9.5815         7.1867         266.1511       
200.0000       9.9855         5.0000         3.7453         366.2511       112.2169       105.1080       196.8949       196.8949       196.8949       113.8716       112.8974       113.3845       286.4025       284.3454       285.3747       0.2584         0.5759         13.6924        0.0043         0.0431         9.6403         7.2506         267.3309       
200.0000       9.9347         6.0000         3.7645         372.7461       115.4444       105.8699       201.2116       201.2116       201.2116       114.9823       113.9403       114.4613       289.7537       287.5449       288.6501       0.2609         0.5689         13.5463        0.0046         0.0457         9.6949         7.3110         268.4479       
200.0000       9.8833         7.0000         3.7840         379.1697       118.6796       106.6166       205.5096       205.5096       205.5096       116.0680       114.9587       115.5134       293.0368       290.6763       291.8574       0.2633         0.5621         13.4035        0.0048         0.0482         9.7474         7.3695         269.5228       
200.0000       9.8344         8.0000         3.8028         385.5223       121.9226       107.3483       209.7891       209.7891       209.7891       117.1289       115.9529       116.5409       296.2524       293.7408       294.9976       0.2656         0.5555         13.2635        0.0050         0.0507         9.7994         7.4274         270.5712       
200.0000       9.7894         9.0000         3.8203         391.8041       125.1734       108.0649       214.0503       214.0503       214.0503       118.1651       116.9232       117.5441       299.4011       296.7391       298.0712       0.2679         0.5491         13.1261        0.0053         0.0531         9.8516         7.4853         271.5997       
200.0000       9.7426         10.0000        3.8387         398.0147       128.4318       108.7663       218.2928       218.2928       218.2928       119.1764       117.8695       118.5229       302.4826       299.6715       301.0782       0.2701         0.5430         12.9911        0.0055         0.0554         9.9013         7.5410         272.5834       
200.0000       9.6964         11.0000        3.8570         404.1542       131.6980       109.4527       222.5167       222.5167       222.5167       120.1629       118.7920       119.4775       305.4973       302.5387       304.0193       0.2723         0.5369         12.8581        0.0057         0.0577         9.9496         7.5955         273.5338       
200.0000       9.6541         12.0000        3.8739         410.2233       134.9721       110.1241       226.7225       226.7225       226.7225       121.1247       119.6912       120.4079       308.4459       305.3416       306.8951       0.2744         0.5311         12.7272        0.0060         0.0599         9.9985         7.6502         274.4672       
200.0000       9.6079         13.0000        3.8925         416.2210       138.2537       110.7804       230.9095       230.9095       230.9095       122.0617       120.5668       121.3143       311.3278       308.0802       309.7055       0.2765         0.5254         12.5980        0.0062         0.0620         10.0437        7.7021         275.3472       
200.0000       9.5605         14.0000        3.9118         422.1478       141.5430       111.4217       235.0779       235.0779       235.0779       122.9740       121.4191       122.1965       314.1436       310.7551       312.4510       0.2785         0.5198         12.4704        0.0064         0.0640         10.0869        7.7521         276.1872       
200.0000       9.5154         15.0000        3.9303         428.0041       144.8402       112.0480       239.2282       239.2282       239.2282       123.8616       122.2484       123.0550       316.8937       313.3671       315.1321       0.2805         0.5144         12.3442        0.0066         0.0660         10.1298        7.8017         277.0044       
200.0000       9.4763         16.0000        3.9465         433.7905       148.1453       112.6595       243.3604       243.3604       243.3604       124.7247       123.0548       123.8897       319.5784       315.9168       317.7494       0.2824         0.5091         12.2193        0.0067         0.0679         10.1745        7.8527         277.8181       
200.0000       9.4337         17.0000        3.9644         439.5058       151.4581       113.2559       247.4740       247.4740       247.4740       125.5631       123.8382       124.7006       322.1973       318.4038       320.3024       0.2843         0.5039         12.0956        0.0069         0.0696         10.2159        7.9009         278.5817       
200.0000       9.4096         18.0000        3.9745         445.1526       154.7793       113.8378       251.5704       251.5704       251.5704       126.3773       124.5992       125.4883       324.7519       320.8301       322.7930       0.2861         0.4988         11.9729        0.0071         0.0714         10.2661        7.9558         279.4054       
200.0000       9.3712         19.0000        3.9908         450.7274       158.1078       114.4044       255.6476       255.6476       255.6476       127.1666       125.3372       126.2519       327.2401       323.1938       325.2191       0.2880         0.4939         11.8512        0.0072         0.0730         10.3073        8.0037         280.1270       
200.0000       9.3379         20.0000        4.0050         456.2322       161.4442       114.9563       259.7069       259.7069       259.7069       127.9314       126.0527       126.9920       329.6635       325.4965       327.5821       0.2898         0.4890         11.7303        0.0074         0.0745         10.3500        8.0526         280.8434       
200.0000       9.3041         21.0000        4.0196         461.6666       164.7884       115.4932       263.7478       263.7478       263.7478       128.6716       126.7456       127.7086       332.0216       327.7381       329.8821       0.2915         0.4842         11.6102        0.0075         0.0760         10.3912        8.1003         281.5264       
200.0000       9.2670         22.0000        4.0357         467.0304       168.1402       116.0152       267.7702       267.7702       267.7702       129.3872       127.4161       128.4016       334.3144       329.9186       332.1188       0.2933         0.4795         11.4907        0.0077         0.0773         10.4294        8.1456         282.1631       
200.0000       9.2367         23.0000        4.0489         472.3245       171.5000       116.5225       271.7749       271.7749       271.7749       130.0784       128.0643       129.0713       336.5425       332.0389       334.2931       0.2950         0.4749         11.3718        0.0078         0.0786         10.4703        8.1929         282.8044       
200.0000       9.2039         24.0000        4.0634         477.5482       174.8676       117.0148       275.7611       275.7611       275.7611       130.7450       128.6901       129.7176       338.7056       334.0988       336.4046       0.2967         0.4704         11.2534        0.0079         0.0798         10.5086        8.2380         283.4035       
