Output data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         6.8603         68.0000        4.9360         818.0885       363.4637       346.4725       29.3208        790.2974       263.2490       504.3657       504.0419       504.2038       242.0998       239.4890       240.7944       626.1186       620.2349       623.1787       0.2940         0.4776         17.8339        0.0054         0.0551         12.9303        10.1069        386.2627       
0.0000         6.8342         70.0000        4.9548         826.0430       369.5030       352.8930       29.5000        797.8490       265.4460       511.1681       510.8448       511.0064       243.4755       240.7737       242.1246       630.3460       624.2469       627.2985       0.2954         0.4738         17.7090        0.0056         0.0567         12.9726        10.1555        387.1503       
0.0000         6.8094         72.0000        4.9729         833.9197       375.5429       359.3037       29.6728        805.3510       267.5914       517.9434       517.6208       517.7821       244.8102       242.0162       243.4132       634.4685       628.1504       631.3116       0.2968         0.4701         17.5832        0.0057         0.0583         13.0148        10.2040        388.0116       
0.0000         6.7841         74.0000        4.9914         841.7185       381.5833       365.7045       29.8392        812.8036       269.6850       524.6917       524.3700       524.5309       246.1041       243.2167       244.6604       638.4860       631.9457       635.2182       0.2982         0.4664         17.4563        0.0059         0.0600         13.0554        10.2512        388.8310       
0.0000         6.7584         76.0000        5.0103         849.4395       387.6243       372.0955       29.9992        820.2066       271.7270       531.4129       531.0924       531.2527       247.3570       244.3752       245.8661       642.3985       635.6329       639.0182       0.2995         0.4628         17.3284        0.0061         0.0616         13.0943        10.2972        389.6088       
0.0000         6.7328         78.0000        5.0294         857.0827       393.6659       378.4767       30.1528        827.5600       273.7174       538.1071       537.7879       537.9475       248.5690       245.4919       247.0305       646.2060       639.2122       642.7117       0.3009         0.4592         17.1995        0.0062         0.0633         13.1320        10.3421        390.3496       
0.0000         6.7076         80.0000        5.0483         864.6480       399.7080       384.8480       30.3000        834.8640       275.6560       544.7742       544.4567       544.6154       249.7401       246.5669       248.1535       649.9082       642.6839       646.2988       0.3022         0.4556         17.0696        0.0064         0.0649         13.1689        10.3865        391.0579       
100.0000       8.2634         0.0000         4.0978         500.3165       158.1926       121.9720       19.4145        503.2438       157.2706       256.4611       256.2519       256.3565       170.5700       168.4442       169.5071       418.8517       414.5084       416.6822       0.2291         0.6612         21.8260        0.0063         0.0639         10.8496        7.9094         331.7118       
100.0000       8.1894         2.0000         4.1349         510.9431       164.2158       128.7321       19.8174        512.4980       161.2399       264.1938       263.9780       264.0859       173.3490       171.3658       172.3574       426.7176       422.6422       424.6817       0.2320         0.6527         21.6901        0.0058         0.0587         10.9292        7.9917         334.0966       
100.0000       8.1215         4.0000         4.1694         521.4910       170.2394       135.4821       20.2138        521.7019       165.1570       271.8990       271.6768       271.7879       176.0866       174.2282       175.1574       434.4698       430.6294       432.5511       0.2347         0.6445         21.5583        0.0053         0.0542         11.0091        8.0738         336.4386       
100.0000       8.0594         6.0000         4.2016         531.9602       176.2635       142.2221       20.6036        530.8557       169.0218       279.5768       279.3483       279.4626       178.7829       177.0328       177.9079       442.1093       438.4732       440.2925       0.2374         0.6366         21.4300        0.0049         0.0502         11.0892        8.1556         338.7392       
100.0000       8.0025         8.0000         4.2314         542.3506       182.2881       148.9521       20.9867        539.9593       172.8345       287.2272       286.9926       287.1099       181.4379       179.7808       180.6094       449.6371       446.1763       447.9078       0.2400         0.6291         21.3048        0.0046         0.0469         11.1697        8.2372         340.9994       
100.0000       7.9500         10.0000        4.2594         552.6624       188.3131       155.6721       21.3632        549.0128       176.5950       294.8502       294.6096       294.7299       184.0516       182.4733       183.2624       457.0540       453.7414       455.3987       0.2425         0.6218         21.1823        0.0043         0.0441         11.2501        8.3184         343.2170       
100.0000       7.8996         12.0000        4.2865         562.8954       194.3386       162.3820       21.7332        558.0160       180.3033       302.4458       302.1994       302.3226       186.6240       185.1111       185.8675       464.3608       461.1706       462.7665       0.2449         0.6148         21.0620        0.0041         0.0417         11.3288        8.3981         345.3777       
100.0000       7.8494         14.0000        4.3140         573.0497       200.3644       169.0819       22.0966        566.9691       183.9594       310.0139       309.7619       309.8879       189.1550       187.6953       188.4251       471.5579       468.4660       470.0128       0.2472         0.6080         20.9436        0.0039         0.0397         11.4049        8.4755         347.4708       
100.0000       7.8016         16.0000        4.3404         583.1254       206.3908       175.7718       22.4535        575.8720       187.5634       317.5546       317.2972       317.4259       191.6447       190.2267       190.9357       478.6463       475.6299       477.1388       0.2495         0.6015         20.8268        0.0037         0.0381         11.4799        8.5518         349.5142       
100.0000       7.7578         18.0000        4.3649         593.1226       212.4176       182.4517       22.8038        584.7250       191.1154       325.0680       324.8054       324.9367       194.0933       192.7062       193.3997       485.6264       482.6642       484.1459       0.2517         0.5952         20.7113        0.0036         0.0368         11.5551        8.6280         351.5226       
100.0000       7.7133         20.0000        4.3901         603.0412       218.4448       189.1216       23.1476        593.5278       194.6151       332.5540       332.2863       332.4202       196.5005       195.1344       195.8175       492.4985       489.5703       491.0350       0.2538         0.5891         20.5969        0.0035         0.0358         11.6272        8.7017         353.4625       
100.0000       7.6640         22.0000        4.4183         612.8809       224.4724       195.7814       23.4849        602.2803       198.0627       340.0125       339.7399       339.8762       198.8664       197.5120       198.1892       499.2630       496.3497       497.8069       0.2559         0.5831         20.4834        0.0034         0.0351         11.6932        8.7706         355.3040       
100.0000       7.6145         24.0000        4.4470         622.6421       230.5004       202.4311       23.8157        610.9828       201.4582       347.4436       347.1664       347.3050       201.1911       199.8397       200.5154       505.9203       503.0041       504.4628       0.2579         0.5773         20.3705        0.0034         0.0346         11.7566        8.8373         357.0835       
100.0000       7.5698         26.0000        4.4733         632.3251       236.5290       209.0709       24.1399        619.6354       204.8017       354.8475       354.5659       354.7067       203.4746       202.1181       202.7963       512.4711       509.5351       511.0037       0.2599         0.5717         20.2581        0.0033         0.0344         11.8212        8.9047         358.8407       
100.0000       7.5269         28.0000        4.4988         641.9296       242.5580       215.7008       24.4577        628.2381       208.0933       362.2241       361.9382       362.0811       205.7170       204.3478       205.0324       518.9155       515.9439       517.4303       0.2618         0.5663         20.1460        0.0033         0.0343         11.8849        8.9713         360.5548       
100.0000       7.4829         30.0000        4.5253         651.4557       248.5875       222.3207       24.7689        636.7908       211.3328       369.5733       369.2834       369.4284       207.9182       206.5292       207.2237       525.2537       522.2314       523.7432       0.2637         0.5609         20.0341        0.0034         0.0344         11.9454        9.0353         362.2040       
100.0000       7.4426         32.0000        4.5498         660.9035       254.6175       228.9306       25.0737        645.2937       214.5204       376.8954       376.6017       376.7485       210.0782       208.6629       209.3706       531.4861       528.3991       529.9432       0.2656         0.5557         19.9222        0.0034         0.0347         12.0068        9.0998         363.8286       
100.0000       7.4102         34.0000        4.5696         670.2733       260.6481       235.5307       25.3719        653.7469       217.6562       384.1903       383.8930       384.0416       212.1973       210.7495       211.4734       537.6131       534.4480       536.0312       0.2674         0.5507         19.8103        0.0034         0.0351         12.0725        9.1675         365.4655       
100.0000       7.3802         36.0000        4.5883         679.5649       266.6792       242.1209       25.6637        662.1503       220.7401       391.4580       391.1573       391.3077       214.2752       212.7892       213.5322       543.6346       540.3790       542.0075       0.2691         0.5457         19.6982        0.0035         0.0357         12.1382        9.2350         367.0698       
100.0000       7.3458         38.0000        4.6097         688.7779       272.7107       248.7010       25.9490        670.5036       223.7719       398.6983       398.3945       398.5464       216.3119       214.7824       215.5471       549.5504       546.1927       547.8723       0.2709         0.5408         19.5858        0.0035         0.0364         12.1985        9.2983         368.5887       
100.0000       7.3078         40.0000        4.6337         697.9125       278.7426       255.2712       26.2279        678.8070       226.7517       405.9113       405.6045       405.7579       218.3075       216.7294       217.5184       555.3609       551.8898       553.6261       0.2726         0.5361         19.4731        0.0036         0.0372         12.2538        9.3577         370.0266       
100.0000       7.2684         42.0000        4.6588         706.9687       284.7749       261.8313       26.5003        687.0604       229.6795       413.0970       412.7875       412.9422       220.2619       218.6306       219.4463       561.0661       557.4714       559.2696       0.2743         0.5314         19.3599        0.0037         0.0381         12.3062        9.4147         371.4040       
100.0000       7.2306         44.0000        4.6832         715.9468       290.8078       268.3815       26.7663        695.2640       232.5555       420.2555       419.9435       420.0995       222.1752       220.4865       221.3309       566.6664       562.9381       564.8031       0.2759         0.5269         19.2462        0.0038         0.0390         12.3579        9.4712         372.7462       
100.0000       7.1964         46.0000        4.7054         724.8468       296.8412       274.9218       27.0258        703.4179       235.3797       427.3868       427.0725       427.2297       224.0475       222.2973       223.1724       572.1618       568.2908       570.2272       0.2775         0.5224         19.1320        0.0039         0.0401         12.4110        9.5286         374.0724       
100.0000       7.1644         48.0000        4.7264         733.6686       302.8752       281.4522       27.2788        711.5220       238.1519       434.4909       434.1747       434.3328       225.8788       224.0634       224.9711       577.5523       573.5301       575.5422       0.2791         0.5180         19.0171        0.0040         0.0412         12.4643        9.5862         375.3717       
100.0000       7.1328         50.0000        4.7474         742.4122       308.9096       287.9727       27.5254        719.5764       240.8724       441.5679       441.2498       441.4088       227.6689       225.7849       226.7269       582.8379       578.6564       580.7482       0.2807         0.5136         18.9015        0.0042         0.0424         12.5163        9.6426         376.6291       
100.0000       7.1015         52.0000        4.7683         751.0777       314.9445       294.4833       27.7656        727.5810       243.5409       448.6176       448.2979       448.4578       229.4180       227.4622       228.4401       588.0187       583.6703       585.8456       0.2823         0.5094         18.7852        0.0043         0.0437         12.5670        9.6980         377.8450       
100.0000       7.0708         54.0000        4.7890         759.6650       320.9799       300.9839       27.9993        735.5358       246.1576       455.6401       455.3191       455.4796       231.1261       229.0955       230.1108       593.0947       588.5723       590.8347       0.2838         0.5052         18.6681        0.0044         0.0450         12.6165        9.7524         379.0213       
100.0000       7.0394         56.0000        4.8104         768.1741       327.0158       307.4746       28.2266        743.4409       248.7224       462.6354       462.3133       462.4744       232.7931       230.6850       231.7390       598.0658       593.3629       595.7156       0.2853         0.5011         18.5502        0.0045         0.0464         12.6639        9.8052         380.1492       
100.0000       7.0068         58.0000        4.8327         776.6051       333.0522       313.9553       28.4475        751.2961       251.2354       469.6035       469.2805       469.4420       234.4190       232.2309       233.3249       602.9321       598.0424       600.4886       0.2868         0.4970         18.4314        0.0047         0.0478         12.7087        9.8558         381.2234       
100.0000       6.9754         60.0000        4.8545         784.9579       339.0891       320.4261       28.6619        759.1016       253.6965       476.5444       476.2207       476.3826       236.0039       233.7335       234.8687       607.6936       602.6113       605.1539       0.2883         0.4930         18.3118        0.0048         0.0492         12.7531        9.9062         382.2662       
100.0000       6.9472         62.0000        4.8742         793.2328       345.1265       326.8871       28.8699        766.8574       256.1059       483.4582       483.1341       483.2962       237.5478       235.1929       236.3704       612.3504       607.0702       609.7118       0.2897         0.4891         18.1912        0.0050         0.0507         12.7989        9.9576         383.2973       
100.0000       6.9198         64.0000        4.8935         801.4295       351.1645       333.3381       29.0715        774.5636       258.4634       490.3449       490.0205       490.1827       239.0507       236.6094       237.8301       616.9022       611.4192       614.1624       0.2912         0.4852         18.0697        0.0051         0.0522         12.8442        10.0085        384.2952       
100.0000       6.8908         66.0000        4.9141         809.5482       357.2029       339.7792       29.2667        782.2200       260.7691       497.2043       496.8800       497.0421       240.5125       237.9832       239.2478       621.3492       615.6586       618.5057       0.2926         0.4813         17.9473        0.0053         0.0538         12.8865        10.0572        385.2379       
100.0000       6.8621         68.0000        4.9346         817.5887       363.2418       346.2104       29.4554        789.8266       263.0230       504.0366       503.7124       503.8745       241.9333       239.3143       240.6238       625.6911       619.7887       622.7419       0.2940         0.4775         17.8239        0.0054         0.0554         12.9278        10.1050        386.1440       
100.0000       6.8360         70.0000        4.9535         825.5512       369.2813       352.6317       29.6378        797.3837       265.2251       510.8417       510.5181       510.6799       243.3131       240.6030       241.9581       629.9281       623.8100       626.8712       0.2954         0.4738         17.6995        0.0056         0.0570         12.9701        10.1536        387.0346       
100.0000       6.8111         72.0000        4.9716         833.4358       375.3213       359.0431       29.8137        804.8910       267.3755       517.6197       517.2968       517.4582       244.6520       241.8494       243.2507       634.0601       627.7227       630.8936       0.2968         0.4701         17.5741        0.0058         0.0586         13.0123        10.2021        387.8987       
100.0000       6.7858         74.0000        4.9902         841.2422       381.3618       365.4446       29.9832        812.3487       269.4740       524.3706       524.0485       524.2095       245.9498       243.0536       244.5017       638.0870       631.5268       634.8092       0.2982         0.4664         17.4477        0.0059         0.0602         13.0529        10.2493        388.7209       
100.0000       6.7600         76.0000        5.0092         848.9706       387.4027       371.8362       30.1463        819.7566       271.5207       531.0942       530.7733       530.9338       247.2066       244.2158       245.7112       642.0086       635.2227       638.6181       0.2995         0.4628         17.3202        0.0061         0.0618         13.0918        10.2953        389.5014       
100.0000       6.7343         78.0000        5.0283         856.6210       393.4442       378.2178       30.3030        827.1149       273.5157       537.7907       537.4712       537.6309       248.4224       245.3361       246.8793       645.8249       638.8105       642.3203       0.3009         0.4592         17.1917        0.0063         0.0635         13.1295        10.3403        390.2448       
100.0000       6.7090         80.0000        5.0473         864.1933       399.4862       384.5896       30.4533        834.4234       275.4589       544.4601       544.1421       544.3011       249.5972       246.4147       248.0060       649.5359       642.2904       645.9159       0.3022         0.4556         17.0622        0.0064         0.0652         13.1665        10.3846        390.9556       
200.0000       8.2843         0.0000         4.0875         497.0188       157.3139       120.8286       19.3963        500.4960       155.5308       254.7195       254.5129       254.6162       169.2203       167.0251       168.1227       415.6227       411.1382       413.3827       0.2294         0.6603         21.6671        0.0065         0.0665         10.8228        7.8925         330.5050       
200.0000       8.2097         2.0000         4.1246         507.7021       163.3392       127.5953       19.8196        509.7895       159.5355       262.4726       262.2593       262.3660       172.0281       169.9807       171.0044       423.5506       419.3443       421.4494       0.2323         0.6518         21.5378        0.0060         0.0610         10.9036        7.9756         332.9315       
200.0000       8.1413         4.0000         4.1593         518.3052       169.3649       134.3518       20.2359        519.0316       163.4871       270.1977       269.9778       270.0877       174.7937       172.8760       173.8349       431.3634       427.4014       429.3840       0.2350         0.6436         21.4123        0.0055         0.0563         10.9846        8.0583         335.3129       
200.0000       8.0787         6.0000         4.1915         528.8281       175.3909       141.0980       20.6452        528.2226       167.3856       277.8947       277.6685       277.7816       177.5174       175.7122       176.6148       439.0622       435.3127       437.1888       0.2377         0.6358         21.2901        0.0051         0.0522         11.0659        8.1408         337.6510       
200.0000       8.0213         8.0000         4.2215         539.2710       181.4173       147.8340       21.0475        537.3624       171.2311       285.5639       285.3314       285.4476       180.1991       178.4906       179.3448       446.6480       443.0812       444.8658       0.2403         0.6283         21.1706        0.0048         0.0487         11.1473        8.2230         339.9466       
200.0000       7.9683         10.0000        4.2496         549.6338       187.4440       154.5597       21.4428        546.4511       175.0236       293.2051       292.9665       293.0858       182.8388       181.2124       182.0256       454.1217       450.7095       452.4166       0.2427         0.6211         21.0535        0.0045         0.0457         11.2285        8.3047         342.1978       
200.0000       7.9174         12.0000        4.2769         559.9165       193.4709       161.2751       21.8313        555.4885       178.7631       300.8182       300.5737       300.6960       185.4365       183.8786       184.6575       461.4838       458.1998       459.8427       0.2451         0.6141         20.9384        0.0042         0.0432         11.3081        8.3849         344.3904       
