#Y. Zhao, Z. Wu, S. Hao, W. Wang, X. Deng, J. Song, Elastic properties of fe-bearing akimotoite at mantle conditions: Implications for composition and temperature in lower mantle transition zone, Fundamental Research 2 (2022) 570–577.
#T(K)	V(Ang^3/atom)	P(GPa)	rho(None)	C11(GPa)	C12(GPa)	C13(GPa)	C14(GPa)	C15(GPa)	C33(GPa)	C44(GPa)
1000	6.30802	16	1	502.33728	196.7776	141.7712	-13.01664	25.59968	412.13888	118.15712
1000	6.27723	17	1	508.27232	200.25815	145.84155	-12.75816	26.12667	417.34647	120.15253
1000	6.25336	18	1	514.15312	203.7454	149.8998	-12.49856	26.63772	422.47452	122.10948
1000	6.22887	19	1	519.97968	207.23935	153.94595	-12.23784	27.13283	427.52303	124.02797
1000	6.20617	20	1	525.752	210.74	157.98	-11.976	27.612	432.492	125.908
1000	6.18172	21	1	531.47008	214.24735	162.00195	-11.71304	28.07523	437.38143	127.74957
1000	6.15793	22	1	537.13392	217.7614	166.0118	-11.44896	28.52252	442.19132	129.55268
1000	6.13594	23	1	542.74352	221.28215	170.00955	-11.18376	28.95387	446.92167	131.31733
1000	6.11348	24	1	548.29888	224.8096	173.9952	-10.91744	29.36928	451.57248	133.04352
1000	6.09528	25	1	553.8	228.34375	177.96875	-10.65	29.76875	456.14375	134.73125
1000	6.07069	26	1	559.24688	231.8846	181.9302	-10.38144	30.15228	460.63548	136.38052
1000	6.0509	27	1	564.63952	235.43215	185.87955	-10.11176	30.51987	465.04767	137.99133
1000	6.03967	28	1	569.97792	238.9864	189.8168	-9.84096	30.87152	469.38032	139.56368
1000	6.01722	29	1	575.26208	242.54735	193.74195	-9.56904	31.20723	473.63343	141.09757
1000	6.00001	30	1	580.492	246.115	197.655	-9.296	31.527	477.807	142.593
1500	6.9107	0	1	369	135	65	-17	8	294	68
1500	6.86713	1	1	376.49708	138.37517	69.37365	-16.75936	8.93925	301.12292	70.93685
1500	6.82727	2	1	383.92832	141.76068	73.7346	-16.51744	9.857	308.15168	73.8274
1500	6.78261	3	1	391.29372	145.15653	78.08285	-16.27424	10.75325	315.08628	76.67165
1500	6.74771	4	1	398.59328	148.56272	82.4184	-16.02976	11.628	321.92672	79.4696
1500	6.7121	5	1	405.827	151.97925	86.74125	-15.784	12.48125	328.673	82.22125
1500	6.67525	6	1	412.99488	155.40612	91.0514	-15.53696	13.313	335.32512	84.9266
1500	6.64205	7	1	420.09692	158.84333	95.34885	-15.28864	14.12325	341.88308	87.58565
1500	6.60715	8	1	427.13312	162.29088	99.6336	-15.03904	14.912	348.34688	90.1984
1500	6.57452	9	1	434.10348	165.74877	103.90565	-14.78816	15.67925	354.71652	92.76485
1500	6.54108	10	1	441.008	169.217	108.165	-14.536	16.425	360.992	95.285
1500	6.51255	11	1	447.84668	172.69557	112.41165	-14.28256	17.14925	367.17332	97.75885
1500	6.4809	12	1	454.61952	176.18448	116.6456	-14.02784	17.852	373.26048	100.1864
