Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
200.0000       9.8615         7.0000         1.7644         287.1812       117.6482       105.3682       229.4808       102.2505       275.1746       93.1141        86.6061        96.2565        160.2634       158.7705       159.5170       86.3000        84.7326        85.5163        219.5004       215.8072       217.6544       0.2726         0.5361         10.0164        0.0092         0.1019         12.4514        9.5085         340.2474       
200.0000       9.8005         8.0000         1.7753         293.7930       122.2745       110.5054       235.1298       107.8490       282.6509       94.0102        87.2203        97.8870        165.8702       164.3498       165.1100       87.2198        85.5967        86.4082        222.6363       218.8042       220.7209       0.2772         0.5233         9.7318         0.0094         0.1041         12.5658        9.6438         341.8561       
200.0000       9.7396         9.0000         1.7864         300.4057       126.9016       115.6442       240.7808       113.4494       290.1308       94.9069        87.8354        99.5181        171.4786       169.9266       170.7026       88.1402        86.4584        87.2993        225.7432       221.7641       223.7544       0.2815         0.5114         9.4676         0.0096         0.1064         12.6772        9.7752         343.4399       
200.0000       9.6786         10.0000        1.7977         307.0195       131.5296       120.7844       246.4338       119.0516       297.6142       95.8042        88.4516        101.1496       177.0887       175.5010       176.2949       89.0612        87.3178        88.1895        228.8237       224.6899       226.7576       0.2856         0.5002         9.2218         0.0099         0.1089         12.7858        9.9029         344.9999       
300.0000       10.4021        0.0000         1.6727         229.5300       78.5300        58.6500        175.1600       50.4800        198.3800       82.4400        75.6100        80.4200        108.7100       106.6946       107.7023       75.3880        74.1032        74.7456        183.7000       180.5177       182.1089       0.2182         0.6940         13.2731        0.0086         0.1056         11.1343        8.0243         318.9209       
300.0000       10.3237        1.0000         1.6854         237.8240       84.2080        65.5600        183.2160       58.1540        209.9380       84.0600        77.3800        82.7300        116.3136       114.4661       115.3898       77.0377        75.7372        76.3875        189.3166       186.1549       187.7358       0.2288         0.6620         12.5955        0.0085         0.1020         11.3533        8.2744         322.3818       
300.0000       10.2453        2.0000         1.6983         246.1180       89.8860        72.4700        191.2720       65.8280        221.4960       85.6800        79.1500        85.0400        123.9171       122.2071       123.0621       78.6875        77.3613        78.0244        194.8245       191.6447       193.2347       0.2383         0.6340         12.0124        0.0085         0.0997         11.5638        8.5126         325.7543       
300.0000       10.1669        3.0000         1.7114         254.4120       95.5640        79.3800        199.3280       73.5020        233.0540       87.3000        80.9200        87.3500        131.5207       129.9193       130.7200       80.3372        78.9769        79.6570        200.2404       197.0103       198.6255       0.2468         0.6094         11.5064        0.0085         0.0984         11.7663        8.7398         329.0450       
300.0000       10.0884        4.0000         1.7247         262.7060       101.2420       86.2900        207.3840       81.1760        244.6120       88.9200        82.6900        89.6600        139.1242       137.6040       138.3641       81.9869        80.5851        81.2860        205.5779       202.2701       203.9243       0.2544         0.5875         11.0640        0.0086         0.0980         11.9611        8.9569         332.2597       
300.0000       10.0100        5.0000         1.7382         271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        146.7278       145.2626       145.9952       83.6367        82.1868        82.9117        210.8480       207.4388       209.1438       0.2612         0.5679         10.6749        0.0087         0.0983         12.1488        9.1648         335.4032       
