Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
1500.0000      10.0315        9.0000         1.7345         264.2108       110.4884       96.6953        212.4890       91.7888        250.8934       86.9211        79.8423        87.7938        147.2820       145.8883       146.5852       79.4862        78.0206        78.7534        202.1013       198.6494       200.3759       0.2722         0.5373         9.4353         0.0093         0.1035         12.0438        9.1931         327.4313       
1500.0000      9.9516         10.0000        1.7484         271.9993       116.1072       103.6266       220.5280       99.5703        262.5294       88.5176        81.6186        90.0358        154.8517       153.5166       154.1841       81.0846        79.5649        80.3247        207.1051       203.5323       205.3194       0.2781         0.5210         9.1348         0.0095         0.1042         12.2247        9.3908         330.4783       
1600.0000      10.8883        0.0000         1.5980         180.7323       51.9209        21.6002        122.6601       6.8377         117.3193       67.3696        56.0234        62.3639        64.6033        59.0300        61.8166        59.8416        57.9581        58.8999        137.1712       131.0005       134.1066       0.1384         0.9528         17.5110        0.0160         0.2569         9.3718         6.2197         282.9283       
1600.0000      10.7861        1.0000         1.6131         190.5972       58.8507        30.7172        133.6722       17.1899        133.9699       69.8543        59.2008        65.4535        74.6394        70.0595        72.3495        62.3338        60.7018        61.5178        146.2803       141.2972       143.7972       0.1687         0.8503         15.4157        0.0133         0.1998         9.7826         6.6971         289.5585       
1600.0000      10.6843        2.0000         1.6285         200.4300       65.7547        39.7889        144.6235       27.4871        150.5160       72.3212        62.3493        68.5272        84.6257        80.8782        82.7519        64.8088        63.3330        64.0709        154.8873       150.6706       152.7820       0.1923         0.7743         13.9013        0.0115         0.1628         10.1624        7.1285         295.7602       
1600.0000      10.5830        3.0000         1.6441         210.2316       72.6339        48.8166        155.5161       37.7309        166.9607       74.7709        65.4697        71.5853        94.5635        91.5045        93.0340        67.2670        65.8838        66.5754        163.1223       159.3960       161.2601       0.2111         0.7156         12.7629        0.0104         0.1384         10.5157        7.5225         301.6173       
1600.0000      10.4822        4.0000         1.6599         220.0030       79.4888        57.8017        166.3514       47.9230        183.3069       77.2039        68.5629        74.6284        104.4543       101.9549       103.2046       69.7089        68.3730        69.0410        171.0712       167.6439       169.3577       0.2265         0.6690         11.8811        0.0097         0.1222         10.8460        7.8852         307.1860       
1600.0000      10.3818        5.0000         1.6759         229.7450       86.3204        66.7454        177.1314       58.0648        199.5575       79.6206        71.6297        77.6569        114.2995       112.2437       113.2716       72.1350        70.8127        71.4738        178.7927       175.5259       177.1593       0.2393         0.6310         11.1820        0.0093         0.1117         11.1558        8.2212         312.5060       
1600.0000      10.2996        6.0000         1.6893         237.6742       92.0581        73.8920        185.4572       66.1082        211.6927       81.3012        73.5455        79.9722        122.1045       120.2807       121.1926       73.8148        72.4756        73.1452        184.3056       181.0606       182.6831       0.2488         0.6035         10.6461        0.0092         0.1076         11.3787        8.4700         316.0658       
1600.0000      10.2176        7.0000         1.7029         245.5907       97.7851        81.0192        193.7572       74.1281        223.7831       82.9742        75.4488        82.2809        129.8884       128.2513       129.0699       75.4874        74.1198        74.8036        189.7106       186.4428       188.0769       0.2571         0.5796         10.1856        0.0091         0.1050         11.5917        8.7061         319.5175       
1600.0000      10.1359        8.0000         1.7166         253.4948       103.5016       88.1274        202.0318       82.1248        235.8292       84.6397        77.3398        84.5832        137.6515       136.1591       136.9053       77.1527        75.7472        76.4499        195.0219       191.6941       193.3584       0.2646         0.5584         9.7863         0.0092         0.1037         11.7956        8.9305         322.8694       
1600.0000      10.0543        9.0000         1.7305         261.3866       109.2077       95.2167        210.2814       90.0987        247.8317       86.2980        79.2186        86.8790        145.3940       144.0071       144.7005       78.8109        77.3591        78.0850        200.2506       196.8320       198.5418       0.2713         0.5396         9.4376         0.0093         0.1035         11.9908        9.1442         326.1283       
1600.0000      9.9729         10.0000        1.7446         269.2663       114.9036       102.2876       218.5063       98.0500        259.7914       87.9490        81.0853        89.1685        153.1162       151.7983       152.4573       80.4621        78.9568        79.7095        205.4062       201.8701       203.6388       0.2774         0.5228         9.1310         0.0094         0.1040         12.1780        9.3480         329.3002       
1700.0000      10.9260        0.0000         1.5925         176.9508       49.8589        18.7290        118.5917       3.4557         111.0375       66.2018        54.5055        60.9646        61.1852        55.1698        58.1775        58.6368        56.6260        57.6314        133.3211       126.5732       129.9757       0.1276         0.9906         18.1945        0.0174         0.2866         9.2080         6.0443         279.7393       
1700.0000      10.8219        1.0000         1.6078         186.9369       56.8853        28.0166        129.8322       14.0149        128.0819       68.7533        57.7918        64.1145        71.4094        66.4905        68.9499        61.1942        59.4880        60.3411        142.7936       137.4673       140.1418       0.1612         0.8751         15.8331        0.0141         0.2174         9.6399         6.5487         286.7177       
1700.0000      10.7183        2.0000         1.6233         196.8884       63.8841        37.2555        141.0074       24.5149        145.0138       71.2856        61.0469        67.2471        81.5799        77.5786        79.5792        63.7329        62.2152        62.9741        151.6956       147.2757       149.4899       0.1869         0.7913         14.1642        0.0121         0.1736         10.0373        7.0016         293.2072       
1700.0000      10.6153        3.0000         1.6391         206.8063       70.8561        46.4471        152.1193       34.9576        161.8364       73.7995        64.2718        70.3631        91.6982        88.4554        90.0768        66.2536        64.8491        65.5514        160.1826       156.3413       158.2633       0.2072         0.7277         12.9307        0.0107         0.1449         10.4058        7.4133         299.3120       
1700.0000      10.5127        4.0000         1.6551         216.6917       77.8020        55.5927        163.1697       45.3445        178.5531       76.2954        67.4674        73.4628        101.7659       99.1396        100.4527       68.7568        67.4132        68.0850        168.3549       164.8701       166.6127       0.2236         0.6778         11.9879        0.0099         0.1261         10.7492        7.7907         305.0993       
1700.0000      10.4107        5.0000         1.6713         226.5455       84.7228        64.6938        174.1604       55.6773        195.1669       78.7738        70.6346        76.5469        111.7845       109.6475       110.7160       71.2430        69.9219        70.5825        176.2798       172.9933       174.6366       0.2371         0.6375         11.2484        0.0094         0.1140         11.0705        8.1392         310.6157       
1700.0000      10.3269        6.0000         1.6848         234.5698       90.5408        71.9857        182.6798       63.8976        207.6393       80.5111        72.6447        78.9117        119.7486       117.8728       118.8107       72.9778        71.6447        72.3113        181.9681       178.7239       180.3460       0.2470         0.6086         10.6885        0.0092         0.1089         11.3024        8.3975         314.3330       
1700.0000      10.2434        7.0000         1.6986         242.5804       96.3474        79.2568        191.1715       72.0926        220.0633       82.2402        74.6413        81.2694        127.6899       126.0249       126.8574       74.7047        73.3468        74.0257        187.5407       184.2882       185.9147       0.2557         0.5835         10.2104        0.0092         0.1058         11.5236        8.6420         317.9330       
1700.0000      10.1601        8.0000         1.7125         250.5776       102.1426       86.5074        199.6358       80.2627        232.4397       83.9614        76.6245        83.6201        135.6087       134.1076       134.8582       76.4239        75.0303        75.7271        193.0134       189.7111       191.3626       0.2635         0.5615         9.7985         0.0092         0.1041         11.7350        8.8741         321.4249       
1700.0000      10.0770        9.0000         1.7266         258.5616       107.9267       93.7378        208.0732       88.4081        244.7693       85.6747        78.5947        85.9639        143.5055       142.1246       142.8150       78.1354        76.6969        77.4162        198.3985       195.0117       196.7056       0.2704         0.5421         9.4407         0.0093         0.1035         11.9372        9.0947         324.8167       
1700.0000      9.9942         10.0000        1.7409         266.5326       113.6997       100.9483       216.4841       96.5293        257.0526       87.3802        80.5520        88.3010        151.3804       150.0792       150.7298       79.8394        78.3481        79.0938        203.7061       200.2056       201.9565       0.2767         0.5247         9.1277         0.0094         0.1038         12.1308        9.3048         328.1150       
1800.0000      10.9637        0.0000         1.5870         173.1686       47.7965        15.8573        114.5225       0.0730         104.7546       65.0337        52.9874        59.5652        57.7666        51.2789        54.5227        57.4318        55.2706        56.3512        129.4091       121.9849       125.7361       0.1156         1.0335         18.9821        0.0192         0.3220         9.0389         5.8614         276.4644       
1800.0000      10.8577        1.0000         1.6025         183.2758       54.9196        25.3156        125.9916       10.8393        122.1929       67.6520        56.3825        62.7752        68.1788        62.8981        65.5384        60.0543        58.2619        59.1581        139.2713       133.5503       136.4262       0.1531         0.9026         16.3026        0.0151         0.2378         9.4932         6.3952         283.8190       
1800.0000      10.7524        2.0000         1.6182         193.3461       62.0131        34.7217        137.3907       21.5423        139.5105       70.2499        59.7443        65.9668        78.5335        74.2615        76.3975        62.6569        61.0904        61.8736        148.4824       143.8309       146.1624       0.1811         0.8099         14.4550        0.0127         0.1857         9.9093         6.8711         290.6125       
1800.0000      10.6476        3.0000         1.6341         203.3804       69.0780        44.0770        148.7219       32.1837        156.7112       72.8279        63.0737        69.1406        88.8323        85.3935        87.1129        65.2401        63.8102        64.5252        157.2296       153.2569       155.2451       0.2030         0.7407         13.1142        0.0111         0.1523         10.2936        7.3013         296.9755       
1800.0000      10.5433        4.0000         1.6503         213.3798       76.1149        53.3832        159.9873       42.7654        173.7984       75.3867        66.3718        72.2970        99.0770        96.3151        97.6960        67.8046        66.4507        67.1277        165.6300       162.0780       163.8544       0.2205         0.6871         12.1038        0.0101         0.1305         10.6507        7.6942         302.9886       
1800.0000      10.4395        5.0000         1.6667         223.3454       83.1249        62.6417        171.1888       53.2892        190.7755       77.9268        69.6394        75.4366        109.2690       107.0447       108.1568       70.3508        69.0295        69.6901        173.7614       170.4494       172.1054       0.2348         0.6443         11.3203        0.0095         0.1165         10.9839        8.0557         308.7065       
1800.0000      10.3542        6.0000         1.6804         231.4647       89.0233        70.0790        179.9019       61.6866        203.5850       79.7208        71.7437        77.8509        117.3921       115.4603       116.4262       72.1406        70.8125        71.4766        179.6267       176.3794       178.0031       0.2452         0.6139         10.7343        0.0093         0.1105         11.2250        8.3238         312.5847       
1800.0000      10.2692        7.0000         1.6943         239.5694       94.9094        77.4941        188.5852       70.0567        216.3428       81.5062        73.8335        80.2576        125.4909       123.7953       124.6431       73.9219        72.5727        73.2473        185.3681       182.1284       183.7484       0.2543         0.5877         10.2376        0.0092         0.1067         11.4546        8.5771         316.3356       
1800.0000      10.1844        8.0000         1.7084         247.6598       100.7834       84.8871        197.2393       78.4001        229.0496       83.2829        75.9091        82.6568        133.5656       132.0540       132.8098       75.6950        74.3126        75.0038        191.0029       187.7242       189.3639       0.2624         0.5647         9.8121         0.0092         0.1045         11.6737        8.8170         319.9699       
1800.0000      10.0998        9.0000         1.7227         255.7360       106.6454       92.2586        205.8646       86.7171        241.7062       85.0513        77.9707        85.0487        141.6166       140.2408       140.9287       77.4598        76.0341        76.7470        196.5449       193.1887       194.8673       0.2695         0.5446         9.4447         0.0093         0.1036         11.8830        9.0447         323.4963       
1800.0000      10.0155        10.0000        1.7372         263.7983       112.4956       99.6086        214.4615       95.0082        254.3134       86.8113        80.0185        87.4333        149.6442       148.3593       149.0017       79.2166        77.7388        78.4777        202.0050       198.5389       200.2726       0.2760         0.5267         9.1248         0.0094         0.1037         12.0831        9.2612         326.9225       
1900.0000      11.0014        0.0000         1.5815         169.3858       45.7337        12.9852        110.4527       -3.3101        98.4708        63.8654        51.4691        58.1654        54.3474        47.3556        50.8515        56.2267        53.8870        55.0568        125.4258       117.2044       121.3686       0.1022         1.0827         19.8970        0.0212         0.3647         8.8639         5.6704         273.0928       
1900.0000      10.8936        1.0000         1.5972         179.6142       52.9536        22.6142        122.1503       7.6633         116.3029       66.5506        54.9731        61.4357        64.9477        59.2813        62.1145        58.9143        57.0218        57.9680        135.7089       129.5333       132.6417       0.1441         0.9332         16.8331        0.0163         0.2615         9.3425         6.2362         280.8575       
1900.0000      10.7864        2.0000         1.6131         189.8032       60.1419        32.1874        133.7733       18.5691        134.0064       69.2140        58.4415        64.6864        75.4866        70.9264        73.2065        61.5807        59.9577        60.7692        145.2457       140.3304       142.7957       0.1749         0.8301         14.7775        0.0134         0.1996         9.7783         6.7367         287.9737       
1900.0000      10.6798        3.0000         1.6292         199.9539       67.2996        41.7066        145.3240       29.4094        151.5852       71.8562        61.8754        67.9180        85.9660        82.3183        84.1422        64.2264        62.7667        63.4966        154.2621       150.1401       152.2036       0.1985         0.7546         13.3151        0.0115         0.1606         10.1791        7.1866         294.6063       
1900.0000      10.5738        4.0000         1.6455         210.0673       74.4275        51.1734        156.8044       40.1860        169.0430       74.4779        65.2759        71.1310        96.3876        93.4810        94.9343        66.8522        65.4854        66.1688        162.8962       159.2664       161.0819       0.2172         0.6970         12.2297        0.0103         0.1354         10.5504        7.5956         300.8529       
1900.0000      10.4684        5.0000         1.6621         220.1447       81.5267        60.5893        168.2167       50.9008        186.3833       77.0796        68.6439        74.3262        106.7531       104.4353       105.5942       69.4585        68.1352        68.7968        171.2372       167.8934       169.5653       0.2324         0.6515         11.3980        0.0096         0.1193         10.8959        7.9707         306.7779       
1900.0000      10.3815        6.0000         1.6760         228.3591       87.5055        68.1720        177.1235       59.4751        199.5301       78.9304        70.8425        76.7900        115.0353       113.0431       114.0392       71.3032        69.9790        70.6411        177.2812       174.0269       175.6540       0.2433         0.6194         10.7839        0.0094         0.1122         11.1464        8.2489         310.8206       
1900.0000      10.2950        7.0000         1.6901         236.5580       93.4712        75.7310        185.9986       68.0204        212.6217       80.7720        73.0257        79.2457        123.2915       121.5625       122.4270       73.1390        71.7977        72.4684        183.1926       179.9630       181.5779       0.2528         0.5919         10.2671        0.0093         0.1076         11.3847        8.5111         314.7253       
1900.0000      10.2087        8.0000         1.7043         244.7415       99.4239        83.2666        194.8425       76.5372        225.6589       82.6044        75.1936        81.6934        131.5220       129.9984       130.7602       74.9660        73.5942        74.2801        188.9904       185.7336       187.3623       0.2612         0.5681         9.8273         0.0092         0.1049         11.6117        8.7591         318.5042       
1900.0000      10.1226        9.0000         1.7188         252.9100       105.3638       90.7791        203.6556       85.0259        238.6426       84.4277        77.3466        84.1333        139.7273       138.3557       139.0415       76.7842        75.3706        76.0774        194.6899       191.3629       193.0269       0.2686         0.5472         9.4496         0.0093         0.1037         11.8282        8.9940         322.1672       
1900.0000      10.0368        10.0000        1.7335         261.0636       111.2912       98.2688        212.4385       93.4869        251.5736       86.2422        79.4849        86.5654        147.9077       146.6386       147.2732       78.5937        77.1289        77.8613        200.3029       196.8701       198.5871       0.2753         0.5287         9.1226         0.0094         0.1036         12.0350        9.2171         325.7227       
2000.0000      11.0391        0.0000         1.5761         165.6025       43.6707        10.1128        106.3824       -6.6937        92.1862        62.6970        49.9505        56.7656        50.9279        43.3984        47.1631        55.0214        52.4680        53.7447        121.3594       112.1915       116.8490       0.0871         1.1395         20.9692        0.0238         0.4168         8.6826         5.4702         269.6104       
2000.0000      10.9295        1.0000         1.5919         175.9522       50.9873        19.9124        118.3086       4.4869         110.4122       65.4491        53.5634        60.0961        61.7162        55.6392        58.6777        57.7741        55.7651        56.7696        132.1013       125.4004       128.7785       0.1342         0.9675         17.4357        0.0177         0.2894         9.1873         6.0712         277.8275       
2000.0000      10.8205        2.0000         1.6080         186.2599       58.2704        29.6528        130.1555       15.5956        128.5016       68.1780        57.1385        63.4057        72.4394        67.5724        70.0059        60.5043        58.8163        59.6603        141.9830       136.7673       139.3854       0.1682         0.8522         15.1364        0.0141         0.2155         9.6440         6.5982         285.2880       
2000.0000      10.7121        3.0000         1.6242         196.5269       65.5209        39.3359        141.9256       26.6347        146.4585       70.8843        60.6770        66.6951        83.0993        79.2294        81.1644        63.2126        61.7181        62.4654        151.2791       146.9876       149.1367       0.1938         0.7696         13.5356        0.0120         0.1699         10.0622        7.0690         292.2029       
2000.0000      10.6044        4.0000         1.6408         206.7544       72.7399        48.9632        153.6211       37.6062        164.2869       73.5689        64.1799        69.9649        93.6979        90.6372        92.1676        65.8996        64.5170        65.2083        160.1527       156.4337       158.2941       0.2138         0.7075         12.3665        0.0106         0.1409         10.4482        7.4949         298.6915       
2000.0000      10.4972        5.0000         1.6575         216.9436       79.9283        58.5365        165.2442       48.5121        181.9905       76.2323        67.6484        73.2156        104.2369       101.8191       103.0280       68.5660        67.2389        67.9025        168.7068       165.3246       167.0158       0.2298         0.6591         11.4821        0.0098         0.1224         10.8065        7.8841         304.8294       
2000.0000      10.4089        6.0000         1.6716         225.2531       85.9875        66.2648        174.3447       57.2634        195.4746       78.1399        69.9412        75.7289        112.6782       110.6212       111.6497       70.4658        69.1442        69.8050        174.9316       171.6658       173.2987       0.2413         0.6252         10.8375        0.0095         0.1142         11.0668        8.1727         309.0403       
2000.0000      10.3208        7.0000         1.6858         233.5461       92.0327        73.9677        183.4116       65.9839        208.9000       80.0377        72.2177        78.2336        121.0918       119.3264       120.2091       72.3560        71.0217        71.6889        181.0142       177.7920       179.4032       0.2513         0.5964         10.2991        0.0093         0.1087         11.3139        8.4443         313.1018       
2000.0000      10.2330        8.0000         1.7003         241.8228       98.0642        81.6458        192.4453       74.6741        222.2677       81.9257        74.4780        80.7298        129.4782       127.9408       128.7095       74.2368        72.8750        73.5559        186.9760       183.7390       185.3578       0.2600         0.5715         9.8440         0.0093         0.1055         11.5490        8.7005         317.0277       
2000.0000      10.1454        9.0000         1.7150         250.0835       104.0821       89.2993        201.4463       83.3344        235.5786       83.8041        76.7224        83.2177        137.8378       136.4694       137.1536       76.1084        74.7065        75.4074        192.8335       189.5342       191.1843       0.2677         0.5498         9.4554         0.0093         0.1039         11.7729        8.9428         320.8291       
2000.0000      10.0581        10.0000        1.7299         258.3284       110.0867       96.9287        210.4152       91.9654        248.8334       85.6731        78.9512        85.6974        146.1710       144.9172       145.5441       77.9708        76.5183        77.2445        198.5998       195.1990       196.9000       0.2745         0.5307         9.1209         0.0094         0.1036         11.9864        9.1726         324.5156       
