The SAM model uses the reference state from MgSiO3.dat at T = 300.000000     K
Reference data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
300.0000       10.4021        0.0000         1.0000         229.5300       78.5300        58.6500        175.1600       50.4800        198.3800       82.4400        75.6100        80.4200        107.7023       74.7456        182.1089       318.9209       
300.0000       10.0100        5.0000         1.0000         271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        145.9952       82.9117        209.1438       335.4032       
300.0000       9.6982         10.0000        1.0000         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       174.7051       87.6248        225.2206       343.9890       
The SAM model parameters are as follows:
V: b0 is 0.00336220 (ang$^3/atom)     b1 is -0.08623644 (ang^3/atom/GPa)     RMSE is 0.00881861 (ang^3/atom)
C11: b0 is -0.190479 (GPa)     b1 is 8.655314     RMSE is 0.215246 (GPa)
C12: b0 is -0.174686 (GPa)     b1 is 4.719688     RMSE is 0.335648 (GPa)
C13: b0 is -0.326424 (GPa)     b1 is 6.571585     RMSE is 0.577856 (GPa)
C22: b0 is -0.431837 (GPa)     b1 is 9.311977     RMSE is 0.668243 (GPa)
C23: b0 is -0.398568 (GPa)     b1 is 7.740900     RMSE is 0.770294 (GPa)
C33: b0 is -0.761491 (GPa)     b1 is 14.377861     RMSE is 1.146501 (GPa)
C44: b0 is -0.126848 (GPa)     b1 is 2.673053     RMSE is 0.150561 (GPa)
C55: b0 is -0.215697 (GPa)     b1 is 3.474104     RMSE is 0.254464 (GPa)
C66: b0 is -0.106035 (GPa)     b1 is 3.202637     RMSE is 0.123131 (GPa)
B: b0 is -0.394676 (GPa)     b1 is 8.149268     RMSE is 0.670872 (GPa)
G: b0 is -0.131439 (GPa)     b1 is 2.818783     RMSE is 0.158436 (GPa)
E: b0 is -0.473103 (GPa)     b1 is 8.621196     RMSE is 0.740907 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       B(GPa)         G(GPa)         E(GPa)         
300.0000       3.0000         10.1669        254.4120       95.5640        79.3800        199.3280       73.5020        233.0540       87.3000        80.9200        87.3500        130.6780       79.6453        198.3298       
300.0000       4.0000         10.0884        262.7060       101.2420       86.2900        207.3840       81.1760        244.6120       88.9200        82.6900        89.6600        138.3366       81.2785        203.7368       
300.0000       5.0000         10.0100        271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        145.9952       82.9117        209.1438       
300.0000       6.0000         9.9476         277.7000       111.6200       98.4700        221.2660       94.6100        263.9540       91.4880        85.1600        93.6460        151.7372       83.8543        212.3591       
300.0000       7.0000         9.8853         284.4000       116.3200       103.7400       227.0920       100.3700       271.7380       92.4360        85.8600        95.3220        157.4792       84.7969        215.5745       
300.0000       8.0000         9.8230         291.1000       121.0200       109.0100       232.9180       106.1300       279.5220       93.3840        86.5600        96.9980        163.2211       85.7396        218.7899       
300.0000       9.0000         9.7606         297.8000       125.7200       114.2800       238.7440       111.8900       287.3060       94.3320        87.2600        98.6740        168.9631       86.6822        222.0052       
300.0000       10.0000        9.6982         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       174.7051       87.6248        225.2206       
400.0000       0.0000         10.4385        225.8767       76.5379        55.8762        171.2296       47.2127        192.3113       81.3117        74.1436        79.0682        104.2626       73.5559        178.4700       
400.0000       1.0000         10.3583        234.2903       82.3107        62.9529        179.5090       55.0889        204.2538       82.9971        76.0198        81.4373        112.1237       75.2570        184.1144       
400.0000       2.0000         10.2781        242.7014       88.0814        70.0261        187.7836       62.9608        216.1880       84.6810        77.8936        83.8052        119.9805       76.9567        189.7537       
400.0000       3.0000         10.1980        251.1100       93.8502        77.0957        196.0536       70.8285        228.1143       86.3636        79.7653        86.1718        127.8330       78.6550        195.3881       
400.0000       4.0000         10.1178        259.5163       99.6171        84.1621        204.3191       78.6922        240.0328       88.0449        81.6348        88.5372        135.6815       80.3519        201.0177       
400.0000       5.0000         10.0378        267.9203       105.3822       91.2251        212.5802       86.5518        251.9438       89.7249        83.5022        90.9015        143.5260       82.0475        206.6427       
400.0000       6.0000         9.9739         274.7129       110.1601       96.6358        218.5936       92.4830        260.0538       90.7278        84.2932        92.6255        149.4385       83.0471        210.0599       
400.0000       7.0000         9.9101         281.5046       114.9372       102.0449       224.6050       98.4122        268.1603       91.7301        85.0833        94.3491        155.3491       84.0461        213.4749       
400.0000       8.0000         9.8463         288.2953       119.7134       107.4525       230.6144       104.3396       276.2633       92.7318        85.8723        96.0721        161.2579       85.0445        216.8878       
400.0000       9.0000         9.7825         295.0850       124.4889       112.8587       236.6218       110.2653       284.3628       93.7330        86.6604        97.7946        167.1649       86.0423        220.2985       
